User: Anonymous | Method: UserService.loadUserByUsername(..) | Time: 2025-07-01T21:57:55.939022500
User: Anonymous | Method: UserRepository.getAll() | Time: 2025-07-01T21:57:55.941440800
User: admin | Method: CategoryApi.getAllCategories() | Time: 2025-07-01T22:00:52.585229300
User: admin | Method: CategoryService.getAllCategories() | Time: 2025-07-01T22:00:52.585229300
User: admin | Method: CategoryRepository.getAll() | Time: 2025-07-01T22:00:52.586236300
User: user | Method: BookApi.getAllBooks() | Time: 2025-07-01T23:00:16.308771900
User: user | Method: BookService.getAllBooks() | Time: 2025-07-01T23:00:16.309278900
User: user | Method: BookRepository.getAll() | Time: 2025-07-01T23:00:16.311289200
User: user | Method: BookApi.getBookById(..) | Time: 2025-07-02T01:46:53.915333100
User: user | Method: BookService.getBookById(..) | Time: 2025-07-02T01:46:53.920841400
User: user | Method: BookRepository.getById(..) | Time: 2025-07-02T01:46:53.922841400
User: user | Method: BookApi.getBookWithCategory(..) | Time: 2025-07-02T01:48:48.301696100
User: user | Method: BookService.getBookWithCategory(..) | Time: 2025-07-02T01:48:48.302694100
User: user | Method: BookRepository.getBookWithCategory(..) | Time: 2025-07-02T01:48:48.303696
User: user | Method: BookApi.getAllBooks() | Time: 2025-07-02T01:51:01.349096600
User: user | Method: BookService.getAllBooks() | Time: 2025-07-02T01:51:01.350113900
User: user | Method: BookRepository.getAll() | Time: 2025-07-02T01:51:01.350113900
User: admin | Method: BookApi.createBook(..) | Time: 2025-07-02T01:53:10.580978800
User: admin | Method: BookService.createBook(..) | Time: 2025-07-02T01:53:10.581979900
User: admin | Method: BookRepository.save(..) | Time: 2025-07-02T01:53:10.582978200
User: admin | Method: BookApi.getBookById(..) | Time: 2025-07-02T01:53:41.908402300
User: admin | Method: BookService.getBookById(..) | Time: 2025-07-02T01:53:41.909352200
User: admin | Method: BookRepository.getById(..) | Time: 2025-07-02T01:53:41.909352200
User: admin | Method: BookApi.getBookById(..) | Time: 2025-07-02T01:53:56.829240
User: admin | Method: BookService.getBookById(..) | Time: 2025-07-02T01:53:56.831219900
User: admin | Method: BookRepository.getById(..) | Time: 2025-07-02T01:53:56.831219900
User: user | Method: BookApi.getBookById(..) | Time: 2025-07-02T01:54:15.030217
User: user | Method: BookService.getBookById(..) | Time: 2025-07-02T01:54:15.032407900
User: user | Method: BookRepository.getById(..) | Time: 2025-07-02T01:54:15.033469100
User: user | Method: BookApi.getAllBooks() | Time: 2025-07-02T01:55:23.654772800
User: user | Method: BookService.getAllBooks() | Time: 2025-07-02T01:55:23.656784200
User: user | Method: BookRepository.getAll() | Time: 2025-07-02T01:55:23.656784200
User: admin | Method: BookApi.createBook(..) | Time: 2025-07-02T01:56:02.944946600
User: admin | Method: BookService.createBook(..) | Time: 2025-07-02T01:56:02.946457800
User: admin | Method: BookRepository.save(..) | Time: 2025-07-02T01:56:02.947986200
User: admin | Method: BookApi.createBook(..) | Time: 2025-07-02T01:56:32.909941400
User: admin | Method: BookService.createBook(..) | Time: 2025-07-02T01:56:32.914945400
User: admin | Method: BookRepository.save(..) | Time: 2025-07-02T01:56:32.916450
User: admin | Method: BookApi.getBookById(..) | Time: 2025-07-02T01:56:44.593311600
User: admin | Method: BookService.getBookById(..) | Time: 2025-07-02T01:56:44.593311600
User: admin | Method: BookRepository.getById(..) | Time: 2025-07-02T01:56:44.594822200
User: admin | Method: BookApi.createBook(..) | Time: 2025-07-02T01:58:03.056662
User: admin | Method: BookService.createBook(..) | Time: 2025-07-02T01:58:03.058171800
User: admin | Method: BookRepository.save(..) | Time: 2025-07-02T01:58:03.058171800
User: admin | Method: BookApi.getAllBooks() | Time: 2025-07-02T01:58:14.068998700
User: admin | Method: BookService.getAllBooks() | Time: 2025-07-02T01:58:14.069998900
User: admin | Method: BookRepository.getAll() | Time: 2025-07-02T01:58:14.070997600
User: admin | Method: BookApi.deleteBook(..) | Time: 2025-07-02T02:10:52.232153800
User: admin | Method: BookService.deleteBook(..) | Time: 2025-07-02T02:10:52.233070800
User: admin | Method: BookRepository.delete(..) | Time: 2025-07-02T02:10:52.233070800
User: admin | Method: BookApi.updateBook(..) | Time: 2025-07-02T02:13:46.778825300
User: admin | Method: BookService.updateBook(..) | Time: 2025-07-02T02:13:46.780977800
User: admin | Method: BookRepository.update(..) | Time: 2025-07-02T02:13:46.781984700
User: admin | Method: BookApi.getAllBooks() | Time: 2025-07-02T02:14:03.025543200
User: admin | Method: BookService.getAllBooks() | Time: 2025-07-02T02:14:03.027090300
User: admin | Method: BookRepository.getAll() | Time: 2025-07-02T02:14:03.027090300
User: admin | Method: BorrowRecordApi.borrowBook(..) | Time: 2025-07-02T02:23:26.384230100
User: admin | Method: BorrowRecordService.borrowBook(..) | Time: 2025-07-02T02:23:26.385741800
User: admin | Method: BookRepository.getById(..) | Time: 2025-07-02T02:23:26.385741800
User: admin | Method: BorrowRecordRepository.borrowBook(..) | Time: 2025-07-02T02:23:26.388257200
User: admin | Method: BookRepository.update(..) | Time: 2025-07-02T02:23:26.397320900
User: admin | Method: BorrowRecordApi.returnBook(..) | Time: 2025-07-02T02:26:42.128215200
User: admin | Method: BorrowRecordService.returnBook(..) | Time: 2025-07-02T02:26:42.129219300
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:26:42.130247
User: admin | Method: BorrowRecordApi.returnBook(..) | Time: 2025-07-02T02:27:00.035876
User: admin | Method: BorrowRecordService.returnBook(..) | Time: 2025-07-02T02:27:00.036883800
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:27:00.037883600
User: admin | Method: BorrowRecordApi.returnBook(..) | Time: 2025-07-02T02:27:51.775592800
User: admin | Method: BorrowRecordService.returnBook(..) | Time: 2025-07-02T02:27:51.776599100
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:27:51.777597900
User: admin | Method: BorrowRecordApi.returnBook(..) | Time: 2025-07-02T02:28:06.638301900
User: admin | Method: BorrowRecordService.returnBook(..) | Time: 2025-07-02T02:28:06.639638400
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:28:06.640645700
User: admin | Method: BorrowRecordApi.getBorrowedByUser(..) | Time: 2025-07-02T02:29:04.735880900
User: admin | Method: BorrowRecordService.getBorrowedByUser(..) | Time: 2025-07-02T02:29:04.736907300
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:29:04.737887800
User: admin | Method: BorrowRecordApi.getBorrowedByUser(..) | Time: 2025-07-02T02:29:14.216623
User: admin | Method: BorrowRecordService.getBorrowedByUser(..) | Time: 2025-07-02T02:29:14.218127900
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:29:14.218127900
User: admin | Method: BorrowRecordApi.getBorrowedByUser(..) | Time: 2025-07-02T02:29:33.801414100
User: admin | Method: BorrowRecordService.getBorrowedByUser(..) | Time: 2025-07-02T02:29:33.802411100
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:29:33.803430300
User: admin | Method: BorrowRecordApi.getBorrowedByUser(..) | Time: 2025-07-02T02:29:38.444268800
User: admin | Method: BorrowRecordService.getBorrowedByUser(..) | Time: 2025-07-02T02:29:38.444268800
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:29:38.445799700
User: admin | Method: BorrowRecordApi.getBorrowedByUser(..) | Time: 2025-07-02T02:29:45.941056400
User: admin | Method: BorrowRecordService.getBorrowedByUser(..) | Time: 2025-07-02T02:29:45.942030900
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:29:45.943056600
User: admin | Method: BorrowRecordApi.getBorrowedByUser(..) | Time: 2025-07-02T02:29:53.304330
User: admin | Method: BorrowRecordService.getBorrowedByUser(..) | Time: 2025-07-02T02:29:53.305846900
User: admin | Method: BorrowRecordRepository.getBorrowedByUser(..) | Time: 2025-07-02T02:29:53.306894400
User: admin | Method: UserApi.getAllUsers() | Time: 2025-07-02T03:57:27.489192700
User: admin | Method: UserService.getAllUsers() | Time: 2025-07-02T03:57:27.494704900
User: admin | Method: UserRepository.getAll() | Time: 2025-07-02T03:57:27.495699500
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T03:58:35.127802100
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T03:58:35.128809100
User: admin | Method: UserRepository.save(..) | Time: 2025-07-02T03:58:35.129843600
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T03:59:33.684229700
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T03:59:33.685232500
User: admin | Method: UserRepository.save(..) | Time: 2025-07-02T03:59:33.685232500
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T04:01:12.877028800
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T04:01:12.884324600
User: admin | Method: UserRepository.save(..) | Time: 2025-07-02T04:01:12.886321200
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T04:03:10.413274200
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T04:03:10.417272
User: admin | Method: UserRepository.save(..) | Time: 2025-07-02T04:03:10.419823200
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T04:07:07.046488400
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T04:07:07.053510800
User: admin | Method: UserRepository.save(..) | Time: 2025-07-02T04:07:07.055510600
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T04:09:19.493474200
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T04:09:19.498982600
